M1;EURUSD-OTC;00:00;PUT ; - 75% -  ; MG 1 - 88%   ; MG 2 - 75%
M1;EURUSD-OTC;00:01;PUT ; - 100% -  ; MG 1 - 75%   ; MG 2 - 67%
M1;EURUSD-OTC;00:11;PUT ; - 75% -  ; MG 1 - 75%   ; MG 2 - 83%
M1;EURUSD-OTC;00:12;PUT ; - 75% -  ; MG 1 - 88%   ; MG 2 - 67%
M1;EURUSD-OTC;00:13;PUT ; - 100% -  ; MG 1 - 62%   ; MG 2 - 58%
M1;EURUSD-OTC;00:21;PUT ; - 100% -  ; MG 1 - 57%   ; MG 2 - 60%
M1;EURUSD-OTC;00:26;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;00:28;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;00:29;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;00:30;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 56%
M1;EURUSD-OTC;00:31;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;00:34;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;00:35;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;00:36;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;00:37;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 44%
M1;EURUSD-OTC;00:38;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 89%
M1;EURUSD-OTC;00:39;PUT ; - 100% -  ; MG 1 - 100%   ; MG 2 - 67%
M1;EURUSD-OTC;00:40;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 33%
M1;EURUSD-OTC;00:41;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;00:44;CALL; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;00:45;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;00:55;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;00:58;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;01:00;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 33%
M1;EURUSD-OTC;01:07;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;01:08;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;01:17;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;01:18;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;01:22;PUT ; - 100% -  ; MG 1 - 33%   ; MG 2 - 33%
M1;EURUSD-OTC;01:24;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;01:25;CALL; - 100% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;01:34;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 56%
M1;EURUSD-OTC;01:35;PUT ; - 100% -  ; MG 1 - 50%   ; MG 2 - 44%
M1;EURUSD-OTC;01:40;CALL; - 100% -  ; MG 1 - 100%   ; MG 2 - 78%
M1;EURUSD-OTC;01:41;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 78%
M1;EURUSD-OTC;01:43;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;01:51;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;01:52;PUT ; - 100% -  ; MG 1 - 83%   ; MG 2 - 78%
M1;EURUSD-OTC;01:58;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;01:59;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;02:03;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;02:04;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;02:16;CALL; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;02:17;CALL; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
M1;EURUSD-OTC;02:28;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 56%
M1;EURUSD-OTC;02:39;PUT ; - 67% -  ; MG 1 - 83%   ; MG 2 - 67%
M1;EURUSD-OTC;02:40;PUT ; - 100% -  ; MG 1 - 67%   ; MG 2 - 67%
